ethn.wife,ethn.husband,age.wife,Freq,city
Lezgian,Kumyk,>50,55,Makhachkala
Lezgian,Kumyk,36-50,238,Makhachkala
Lezgian,Kumyk,16-35,357,Makhachkala
Lezgian,Dargin,>50,71,Makhachkala
Lezgian,Dargin,36-50,223,Makhachkala
Lezgian,Dargin,16-35,412,Makhachkala
Lezgian,Lezgian,>50,5777,Makhachkala
Lezgian,Lezgian,36-50,16519,Makhachkala
Lezgian,Lezgian,16-35,17249,Makhachkala
Lezgian,Laki,>50,59,Makhachkala
Lezgian,Laki,36-50,289,Makhachkala
Lezgian,Laki,16-35,477,Makhachkala
Lezgian,Russian,>50,26,Makhachkala
Lezgian,Russian,36-50,78,Makhachkala
Lezgian,Russian,16-35,81,Makhachkala
Lezgian,Tabasaran,>50,43,Makhachkala
Lezgian,Tabasaran,36-50,185,Makhachkala
Lezgian,Tabasaran,16-35,229,Makhachkala
Lezgian,Nogai,>50,0,Makhachkala
Lezgian,Nogai,36-50,5,Makhachkala
Lezgian,Nogai,16-35,23,Makhachkala
Lezgian,Rutulian,>50,35,Makhachkala
Lezgian,Rutulian,36-50,175,Makhachkala
Lezgian,Rutulian,16-35,259,Makhachkala
Lezgian,Aghul,>50,22,Makhachkala
Lezgian,Aghul,36-50,124,Makhachkala
Lezgian,Aghul,16-35,129,Makhachkala
Lezgian,Azerbaijani,>50,39,Makhachkala
Lezgian,Azerbaijani,36-50,174,Makhachkala
Lezgian,Azerbaijani,16-35,186,Makhachkala
Lezgian,Tsakhur,>50,0,Makhachkala
Lezgian,Tsakhur,36-50,21,Makhachkala
Lezgian,Tsakhur,16-35,47,Makhachkala
Lezgian,other,>50,23,Makhachkala
Lezgian,other,36-50,67,Makhachkala
Lezgian,other,16-35,57,Makhachkala
Laki,Avar,>50,176,Makhachkala
Laki,Avar,36-50,700,Makhachkala
Laki,Avar,16-35,906,Makhachkala
Laki,Kumyk,>50,91,Makhachkala
Laki,Kumyk,36-50,289,Makhachkala
Laki,Kumyk,16-35,385,Makhachkala
Laki,Dargin,>50,102,Makhachkala
Laki,Dargin,36-50,424,Makhachkala
Laki,Dargin,16-35,489,Makhachkala
Laki,Lezgian,>50,75,Makhachkala
Laki,Lezgian,36-50,254,Makhachkala
Laki,Lezgian,16-35,388,Makhachkala
Laki,Laki,>50,5974,Makhachkala
Laki,Laki,36-50,17107,Makhachkala
Laki,Laki,16-35,14461,Makhachkala
Laki,Russian,>50,12,Makhachkala
Laki,Russian,36-50,76,Makhachkala
Laki,Russian,16-35,101,Makhachkala
Laki,Tabasaran,>50,0,Makhachkala
Laki,Tabasaran,36-50,36,Makhachkala
Laki,Tabasaran,16-35,86,Makhachkala
Laki,Nogai,>50,12,Makhachkala
Laki,Nogai,36-50,14,Makhachkala
Laki,Nogai,16-35,16,Makhachkala
Laki,Rutulian,>50,7,Makhachkala
Laki,Rutulian,36-50,29,Makhachkala
Laki,Rutulian,16-35,45,Makhachkala
Laki,Aghul,>50,5,Makhachkala
Laki,Aghul,36-50,15,Makhachkala
Laki,Aghul,16-35,7,Makhachkala
Laki,Azerbaijani,>50,18,Makhachkala
Laki,Azerbaijani,36-50,21,Makhachkala
Laki,Azerbaijani,16-35,31,Makhachkala
Laki,Tsakhur,>50,0,Makhachkala
Laki,Tsakhur,36-50,4,Makhachkala
Laki,Tsakhur,16-35,6,Makhachkala
Laki,other,>50,20,Makhachkala
Laki,other,36-50,69,Makhachkala
Laki,other,16-35,66,Makhachkala
Russian,Avar,>50,195,Makhachkala
Russian,Avar,36-50,556,Makhachkala
Russian,Avar,16-35,556,Makhachkala
Russian,Kumyk,>50,185,Makhachkala
Russian,Kumyk,36-50,293,Makhachkala
Russian,Kumyk,16-35,290,Makhachkala
Russian,Dargin,>50,116,Makhachkala
Russian,Dargin,36-50,304,Makhachkala
Russian,Dargin,16-35,230,Makhachkala
Russian,Lezgian,>50,273,Makhachkala
Russian,Lezgian,36-50,380,Makhachkala
Russian,Lezgian,16-35,317,Makhachkala
Russian,Laki,>50,186,Makhachkala
Russian,Laki,36-50,344,Makhachkala
Russian,Laki,16-35,329,Makhachkala
Russian,Russian,>50,4053,Makhachkala
Russian,Russian,36-50,5656,Makhachkala
Russian,Russian,16-35,4689,Makhachkala
Russian,Tabasaran,>50,39,Makhachkala
Russian,Tabasaran,36-50,31,Makhachkala
Russian,Tabasaran,16-35,41,Makhachkala
Russian,Nogai,>50,3,Makhachkala
Russian,Nogai,36-50,21,Makhachkala
Russian,Nogai,16-35,10,Makhachkala
Russian,Rutulian,>50,16,Makhachkala
Russian,Rutulian,36-50,28,Makhachkala
Russian,Rutulian,16-35,37,Makhachkala
Russian,Aghul,>50,0,Makhachkala
Russian,Aghul,36-50,13,Makhachkala
Russian,Aghul,16-35,5,Makhachkala
Russian,Azerbaijani,>50,76,Makhachkala
Russian,Azerbaijani,36-50,51,Makhachkala
Russian,Azerbaijani,16-35,61,Makhachkala
Russian,Tsakhur,>50,0,Makhachkala
Russian,Tsakhur,36-50,0,Makhachkala
Russian,Tsakhur,16-35,0,Makhachkala
Russian,other,>50,299,Makhachkala
Russian,other,36-50,273,Makhachkala
Russian,other,16-35,208,Makhachkala
Tabasaran,Avar,>50,13,Makhachkala
Tabasaran,Avar,36-50,32,Makhachkala
Tabasaran,Avar,16-35,60,Makhachkala
Tabasaran,Kumyk,>50,3,Makhachkala
Tabasaran,Kumyk,36-50,20,Makhachkala
Tabasaran,Kumyk,16-35,33,Makhachkala
Tabasaran,Dargin,>50,11,Makhachkala
Tabasaran,Dargin,36-50,15,Makhachkala
Tabasaran,Dargin,16-35,49,Makhachkala
Tabasaran,Lezgian,>50,48,Makhachkala
Tabasaran,Lezgian,36-50,171,Makhachkala
Tabasaran,Lezgian,16-35,207,Makhachkala
